sec_from_start,pts_time,tc_seconds,tc_str
116,116.0,50374.367033333336,13:59:34:22
117,117.0,50375.367033333336,13:59:35:22
118,118.0,50376.367033333336,13:59:36:22
119,119.0,50377.367033333336,13:59:37:22
120,120.0,50378.367033333336,13:59:38:22
121,121.0,50379.367033333336,13:59:39:22
122,122.0,50380.367033333336,13:59:40:22
123,123.0,50381.367033333336,13:59:41:22
124,124.0,50382.367033333336,13:59:42:22
125,125.0,50383.367033333336,13:59:43:22
126,126.0,50384.367033333336,13:59:44:22
127,127.0,50385.367033333336,13:59:45:22
128,128.0,50386.367033333336,13:59:46:22
129,129.0,50387.367033333336,13:59:47:22
130,130.0,50388.367033333336,13:59:48:22
131,131.0,50389.367033333336,13:59:49:22
132,132.0,50390.367033333336,13:59:50:22
133,133.0,50391.367033333336,13:59:51:22
134,134.0,50392.367033333336,13:59:52:22
135,135.0,50393.367033333336,13:59:53:22
136,136.0,50394.367033333336,13:59:54:22
137,137.0,50395.367033333336,13:59:55:22
138,138.0,50396.367033333336,13:59:56:22
139,139.0,50397.367033333336,13:59:57:22
140,140.0,50398.367033333336,13:59:58:22
141,141.0,50399.367033333336,13:59:59:22
142,142.0,50400.367033333336,14:00:00:22
143,143.0,50401.367033333336,14:00:01:22
144,144.0,50402.367033333336,14:00:02:22
145,145.0,50403.367033333336,14:00:03:22
146,146.0,50404.367033333336,14:00:04:22
147,147.0,50405.367033333336,14:00:05:22
148,148.0,50406.367033333336,14:00:06:22
149,149.0,50407.367033333336,14:00:07:22
150,150.0,50408.367033333336,14:00:08:22
151,151.0,50409.367033333336,14:00:09:22
152,152.0,50410.367033333336,14:00:10:22
153,153.0,50411.367033333336,14:00:11:22
154,154.0,50412.367033333336,14:00:12:22
155,155.0,50413.367033333336,14:00:13:22
156,156.0,50414.367033333336,14:00:14:22
157,157.0,50415.367033333336,14:00:15:22
158,158.0,50416.367033333336,14:00:16:22
159,159.0,50417.367033333336,14:00:17:22
160,160.0,50418.367033333336,14:00:18:22
161,161.0,50419.367033333336,14:00:19:22
162,162.0,50420.367033333336,14:00:20:22
163,163.0,50421.367033333336,14:00:21:22
164,164.0,50422.367033333336,14:00:22:22
165,165.0,50423.367033333336,14:00:23:22
166,166.0,50424.367033333336,14:00:24:22
167,167.0,50425.367033333336,14:00:25:22
168,168.0,50426.367033333336,14:00:26:22
169,169.0,50427.367033333336,14:00:27:22
170,170.0,50428.367033333336,14:00:28:22
171,171.0,50429.367033333336,14:00:29:22
172,172.0,50430.367033333336,14:00:30:22
173,173.0,50431.367033333336,14:00:31:22
174,174.0,50432.367033333336,14:00:32:22
175,175.0,50433.367033333336,14:00:33:22
176,176.0,50434.367033333336,14:00:34:22
177,177.0,50435.367033333336,14:00:35:22
178,178.0,50436.367033333336,14:00:36:22
179,179.0,50437.367033333336,14:00:37:22
180,180.0,50438.367033333336,14:00:38:22
