window_id,start_idx_in_video_subset,end_idx_in_video_subset,start_time,end_time
152,15200,15399,2025-07-17 14:02:42,2025-07-17 14:02:45.980
153,15300,15499,2025-07-17 14:02:44,2025-07-17 14:02:47.980
154,15400,15599,2025-07-17 14:02:46,2025-07-17 14:02:49.980
155,15500,15699,2025-07-17 14:02:48,2025-07-17 14:02:51.980
156,15600,15799,2025-07-17 14:02:50,2025-07-17 14:02:53.980
157,15700,15899,2025-07-17 14:02:52,2025-07-17 14:02:55.980
158,15800,15999,2025-07-17 14:02:54,2025-07-17 14:02:57.980
159,15900,16099,2025-07-17 14:02:56,2025-07-17 14:02:59.980
160,16000,16199,2025-07-17 14:02:58,2025-07-17 14:03:01.980
161,16100,16299,2025-07-17 14:03:00,2025-07-17 14:03:03.980
162,16200,16399,2025-07-17 14:03:02,2025-07-17 14:03:05.980
163,16300,16499,2025-07-17 14:03:04,2025-07-17 14:03:07.980
164,16400,16599,2025-07-17 14:03:06,2025-07-17 14:03:09.980
165,16500,16699,2025-07-17 14:03:08,2025-07-17 14:03:11.980
166,16600,16799,2025-07-17 14:03:10,2025-07-17 14:03:13.980
167,16700,16899,2025-07-17 14:03:12,2025-07-17 14:03:15.980
168,16800,16999,2025-07-17 14:03:14,2025-07-17 14:03:17.980
169,16900,17099,2025-07-17 14:03:16,2025-07-17 14:03:19.980
170,17000,17199,2025-07-17 14:03:18,2025-07-17 14:03:21.980
171,17100,17299,2025-07-17 14:03:20,2025-07-17 14:03:23.980
172,17200,17399,2025-07-17 14:03:22,2025-07-17 14:03:25.980
173,17300,17499,2025-07-17 14:03:24,2025-07-17 14:03:27.980
174,17400,17599,2025-07-17 14:03:26,2025-07-17 14:03:29.980
175,17500,17699,2025-07-17 14:03:28,2025-07-17 14:03:31.980
176,17600,17799,2025-07-17 14:03:30,2025-07-17 14:03:33.980
177,17700,17899,2025-07-17 14:03:32,2025-07-17 14:03:35.980
178,17800,17999,2025-07-17 14:03:34,2025-07-17 14:03:37.980
179,17900,18099,2025-07-17 14:03:36,2025-07-17 14:03:39.980
180,18000,18199,2025-07-17 14:03:38,2025-07-17 14:03:41.980
181,18100,18299,2025-07-17 14:03:40,2025-07-17 14:03:43.980
182,18200,18399,2025-07-17 14:03:42,2025-07-17 14:03:45.980
183,18300,18499,2025-07-17 14:03:44,2025-07-17 14:03:47.980
184,18400,18599,2025-07-17 14:03:46,2025-07-17 14:03:49.980
185,18500,18699,2025-07-17 14:03:48,2025-07-17 14:03:51.980
186,18600,18799,2025-07-17 14:03:50,2025-07-17 14:03:53.980
187,18700,18899,2025-07-17 14:03:52,2025-07-17 14:03:55.980
188,18800,18999,2025-07-17 14:03:54,2025-07-17 14:03:57.980
189,18900,19099,2025-07-17 14:03:56,2025-07-17 14:03:59.980
190,19000,19199,2025-07-17 14:03:58,2025-07-17 14:04:01.980
191,19100,19299,2025-07-17 14:04:00,2025-07-17 14:04:03.980
192,19200,19399,2025-07-17 14:04:02,2025-07-17 14:04:05.980
193,19300,19499,2025-07-17 14:04:04,2025-07-17 14:04:07.980
194,19400,19599,2025-07-17 14:04:06,2025-07-17 14:04:09.980
195,19500,19699,2025-07-17 14:04:08,2025-07-17 14:04:11.980
196,19600,19799,2025-07-17 14:04:10,2025-07-17 14:04:13.980
197,19700,19899,2025-07-17 14:04:12,2025-07-17 14:04:15.980
198,19800,19999,2025-07-17 14:04:14,2025-07-17 14:04:17.980
199,19900,20099,2025-07-17 14:04:16,2025-07-17 14:04:19.980
200,20000,20199,2025-07-17 14:04:18,2025-07-17 14:04:21.980
201,20100,20299,2025-07-17 14:04:20,2025-07-17 14:04:23.980
202,20200,20399,2025-07-17 14:04:22,2025-07-17 14:04:25.980
203,20300,20499,2025-07-17 14:04:24,2025-07-17 14:04:27.980
204,20400,20599,2025-07-17 14:04:26,2025-07-17 14:04:29.980
205,20500,20699,2025-07-17 14:04:28,2025-07-17 14:04:31.980
206,20600,20799,2025-07-17 14:04:30,2025-07-17 14:04:33.980
207,20700,20899,2025-07-17 14:04:32,2025-07-17 14:04:35.980
208,20800,20999,2025-07-17 14:04:34,2025-07-17 14:04:37.980
209,20900,21099,2025-07-17 14:04:36,2025-07-17 14:04:39.980
210,21000,21199,2025-07-17 14:04:38,2025-07-17 14:04:41.980
211,21100,21299,2025-07-17 14:04:40,2025-07-17 14:04:43.980
212,21200,21399,2025-07-17 14:04:42,2025-07-17 14:04:45.980
213,21300,21499,2025-07-17 14:04:44,2025-07-17 14:04:47.980
214,21400,21599,2025-07-17 14:04:46,2025-07-17 14:04:49.980
215,21500,21699,2025-07-17 14:04:48,2025-07-17 14:04:51.980
216,21600,21799,2025-07-17 14:04:50,2025-07-17 14:04:53.980
217,21700,21899,2025-07-17 14:04:52,2025-07-17 14:04:55.980
218,21800,21999,2025-07-17 14:04:54,2025-07-17 14:04:57.980
219,21900,22099,2025-07-17 14:04:56,2025-07-17 14:04:59.980
220,22000,22199,2025-07-17 14:04:58,2025-07-17 14:05:01.980
221,22100,22299,2025-07-17 14:05:00,2025-07-17 14:05:03.980
222,22200,22399,2025-07-17 14:05:02,2025-07-17 14:05:05.980
223,22300,22499,2025-07-17 14:05:04,2025-07-17 14:05:07.980
224,22400,22599,2025-07-17 14:05:06,2025-07-17 14:05:09.980
225,22500,22699,2025-07-17 14:05:08,2025-07-17 14:05:11.980
226,22600,22799,2025-07-17 14:05:10,2025-07-17 14:05:13.980
227,22700,22899,2025-07-17 14:05:12,2025-07-17 14:05:15.980
228,22800,22999,2025-07-17 14:05:14,2025-07-17 14:05:17.980
229,22900,23099,2025-07-17 14:05:16,2025-07-17 14:05:19.980
230,23000,23199,2025-07-17 14:05:18,2025-07-17 14:05:21.980
231,23100,23299,2025-07-17 14:05:20,2025-07-17 14:05:23.980
232,23200,23399,2025-07-17 14:05:22,2025-07-17 14:05:25.980
233,23300,23499,2025-07-17 14:05:24,2025-07-17 14:05:27.980
234,23400,23599,2025-07-17 14:05:26,2025-07-17 14:05:29.980
235,23500,23699,2025-07-17 14:05:28,2025-07-17 14:05:31.980
236,23600,23799,2025-07-17 14:05:30,2025-07-17 14:05:33.980
237,23700,23899,2025-07-17 14:05:32,2025-07-17 14:05:35.980
238,23800,23999,2025-07-17 14:05:34,2025-07-17 14:05:37.980
239,23900,24099,2025-07-17 14:05:36,2025-07-17 14:05:39.980
240,24000,24199,2025-07-17 14:05:38,2025-07-17 14:05:41.980
241,24100,24299,2025-07-17 14:05:40,2025-07-17 14:05:43.980
242,24200,24399,2025-07-17 14:05:42,2025-07-17 14:05:45.980
243,24300,24499,2025-07-17 14:05:44,2025-07-17 14:05:47.980
244,24400,24599,2025-07-17 14:05:46,2025-07-17 14:05:49.980
245,24500,24699,2025-07-17 14:05:48,2025-07-17 14:05:51.980
246,24600,24799,2025-07-17 14:05:50,2025-07-17 14:05:53.980
247,24700,24899,2025-07-17 14:05:52,2025-07-17 14:05:55.980
248,24800,24999,2025-07-17 14:05:54,2025-07-17 14:05:57.980
249,24900,25099,2025-07-17 14:05:56,2025-07-17 14:05:59.980
250,25000,25199,2025-07-17 14:05:58,2025-07-17 14:06:01.980
